Present_Transcription	Past_Transcription	Count	Present_Orthography	Past_Orthography	Regular_or_Irregular
p.ɹ.ɑ.s.ʌ.k.j.u.t	p.ɹ.ɑ.s.ɪ.k.j.u.t.ɪ.d	172	prosecute	prosecuted	reg
t.ɪ.k	t.ɪ.k.t	172	tick	ticked	reg
ʌ.n.d.u	ʌ.n.d.ɪ.d	172	undo	undid	irreg
tʃ.ɪ.l	tʃ.ɪ.l.d	171	chill	chilled	reg
ɪ.n.d.ʌ.s.t.ɹ.i.ʌ.l.aɪ.z	ɪ.n.d.ʌ.s.t.ɹ.i.ʌ.l.aɪ.z.d	171	industrialize	industrialized	reg
ɪ.n.t.ɛ.n.s.ɪ.f.aɪ	ɪ.n.t.ɛ.n.s.ɪ.f.aɪ.d	171	intensify	intensified	reg
oʊ.m.ɪ.t	oʊ.m.ɪ.t.ʌ.d	171	omit	omitted	reg
s.ɑ.f.ʌ.n	s.ɔ.f.ʌ.n.d	171	soften	softened	reg
k.ʌ.n.f.ɚ	k.ʌ.n.f.ɚ.d	170	confer	conferred	reg
d.ɪ.s.ʌ.p.l.ʌ.n	d.ɪ.s.ʌ.p.l.ʌ.n.d	170	discipline	disciplined	reg
d.ɪ.s.t.ɹ.æ.k.t	d.ɪ.s.t.ɹ.æ.k.t.ʌ.d	170	distract	distracted	reg
ɪ.n.h.ɪ.b.ʌ.t	ɪ.n.h.ɪ.b.ʌ.t.ɪ.d	170	inhibit	inhibited	reg
m.ɪ.n.ʌ.m.aɪ.z	m.ɪ.n.ʌ.m.aɪ.z.d	170	minimize	minimized	reg
ɹ.i.z.ʌ.n	ɹ.i.z.ʌ.n.d	170	reason	reasoned	reg
s.p.ɑ.n.s.ɚ	s.p.ɑ.n.s.ɚ.d	170	sponsor	sponsored	reg
b.ɔ.ɹ.d	b.ɔ.ɹ.d.ʌ.d	169	board	boarded	reg
f.l.æ.t.ʌ.n	f.l.æ.t.ʌ.n.d	169	flatten	flattened	reg
n.ɪ.t	n.ɪ.t.ʌ.d	169	knit	knitted	irreg
p.ɪ.n.tʃ	p.ɪ.n.tʃ.t	169	pinch	pinched	reg
s.ʌ.p.l.ʌ.m.ʌ.n.t	s.ʌ.p.l.ʌ.m.ɛ.n.t.ɪ.d	169	supplement	supplemented	reg
m.ɪ.s.t.eɪ.k	m.ɪ.s.t.ʊ.k	168	mistake	mistook	irreg
n.ʌ.m.b.ɚ	n.ʌ.m.b.ɚ.d	168	number	numbered	reg
ɹ.ɪ.t.ɹ.i.v	ɹ.i.t.ɹ.i.v.d	168	retrieve	retrieved	reg
s.k.ɪ.p	s.k.ɪ.p.t	168	skip	skipped	reg
w.eɪ.l	w.eɪ.l.d	168	wail	wailed	reg
eɪ.d	eɪ.d.ɪ.d	167	aid	aided	reg
ɛ.dʒ	ɛ.dʒ.d	167	edge	edged	reg
d.ɪ.s.p.ɛ.n.s	d.ɪ.s.p.ɛ.n.s.t	166	dispense	dispensed	reg
t.ɛ.s.t.ɪ.f.aɪ	t.ɛ.s.t.ɪ.f.aɪ.d	166	testify	testified	reg
w.i.l	w.i.l.d	166	wheel	wheeled	reg
k.ɹ.ʌ.m.p.ʌ.l	k.ɹ.ʌ.m.p.ʌ.l.d	165	crumple	crumpled	reg
ɹ.ɛ.k.ʌ.n.s.aɪ.l	ɹ.ɛ.k.ʌ.n.s.aɪ.l.d	165	reconcile	reconciled	reg
ɹ.oʊ.s.t	ɹ.oʊ.s.t.ʌ.d	165	roast	roasted	reg
s.k.æ.n	s.k.æ.n.d	165	scan	scanned	reg
s.p.ɹ.ɔ.l	s.p.ɹ.ɔ.l.d	165	sprawl	sprawled	reg
b.æ.t.ʌ.l	b.æ.t.ʌ.l.d	164	battle	battled	reg
d.w.ɛ.l	d.w.ɛ.l.d	164	dwell	dwelled	reg
g.ɹ.ʌ.n.t	g.ɹ.ʌ.n.t.ɪ.d	164	grunt	grunted	reg
oʊ.v.ɚ.w.ɛ.l.m	oʊ.v.ɚ.w.ɛ.l.m.d	164	overwhelm	overwhelmed	reg
s.ɪ.g.n.ʌ.f.aɪ	s.ɪ.g.n.ʌ.f.aɪ.d	164	signify	signified	reg
t.ɹ.ɪ.g.ɚ	t.ɹ.ɪ.g.ɚ.d	164	trigger	triggered	reg
ʌ.p.l.ɔ.d	ʌ.p.l.ɔ.d.ɪ.d	163	applaud	applauded	reg
b.eɪ.ð	b.eɪ.ð.d	163	bathe	bathed	reg
k.l.ɪ.k	k.l.ɪ.k.t	163	click	clicked	reg
k.ʌ.n.g.ɹ.æ.tʃ.ʌ.l.eɪ.t	k.ʌ.n.g.ɹ.æ.tʃ.ʌ.l.eɪ.t.ɪ.d	163	congratulate	congratulated	reg
d.w.ɪ.n.d.ʌ.l	d.w.ɪ.n.d.ʌ.l.d	163	dwindle	dwindled	reg
ɪ.v.oʊ.k	ɪ.v.oʊ.k.t	163	evoke	evoked	reg
l.u.s.ʌ.n	l.u.s.ʌ.n.d	163	loosen	loosened	reg
n.æ.g	n.æ.g.d	163	nag	nagged	reg
θ.ɹ.ɪ.l	θ.ɹ.ɪ.l.d	163	thrill	thrilled	reg
ʌ.l.ɚ.t	ʌ.l.ɚ.t.ɪ.d	162	alert	alerted	reg
d.eɪ.z	d.eɪ.z.d	161	daze	dazed	reg
dʒ.ɛ.s.tʃ.ɚ	dʒ.ɛ.s.tʃ.ɚ.d	161	gesture	gestured	reg
ɹ.ɛ.g.j.ʌ.l.eɪ.t	ɹ.ɛ.g.j.ʌ.l.eɪ.t.ʌ.d	161	regulate	regulated	reg
ɹ.aʊ.s	ɹ.aʊ.z.d	161	rouse	roused	reg
b.i.m	b.i.m.d	160	beam	beamed	reg
k.l.æ.s.ʌ.f.aɪ	k.l.æ.s.ʌ.f.aɪ.d	160	classify	classified	reg
d.ɪ.s.tʃ.ɑ.ɹ.dʒ	d.ɪ.s.tʃ.ɑ.ɹ.dʒ.d	160	discharge	discharged	reg
ɛ.d.ʌ.t	ɛ.d.ʌ.t.ʌ.d	160	edit	edited	reg
ɪ.m.b.ɑ.d.i	ɪ.m.b.ɑ.d.i.d	160	embody	embodied	reg
ɪ.k.s.p.ɛ.ɹ.ʌ.m.ʌ.n.t	ɪ.k.s.p.ɛ.ɹ.ʌ.m.ʌ.n.t.ʌ.d	160	experiment	experimented	reg
p.aʊ.n.d	p.aʊ.n.d.ɪ.d	160	pound	pounded	reg
k.oʊ.m	k.oʊ.m.d	159	comb	combed	reg
ʌ.b.s.k.j.ʊ.ɹ	ʌ.b.s.k.j.ʊ.ɹ.d	159	obscure	obscured	reg
p.ʌ.f	p.ʌ.f.t	159	puff	puffed	reg
k.l.oʊ.ð	k.l.oʊ.ð.d	158	clothe	clothed	reg
ɪ.ɹ.oʊ.d	ɪ.ɹ.oʊ.d.ʌ.d	158	erode	eroded	reg
f.ɛ.l	f.ɛ.l.d	158	fell	felled	reg
w.ɔ.t.ɚ	w.ɔ.t.ɚ.d	158	water	watered	reg
ʌ.s.ɔ.l.t	ʌ.s.ɔ.l.t.ɪ.d	157	assault	assaulted	reg
b.ʊ.l.i	b.ʊ.l.i.d	157	bully	bullied	reg
tʃ.ɛ.ɹ.ɪ.ʃ	tʃ.ɛ.ɹ.ɪ.ʃ.t	157	cherish	cherished	reg
d.ɪ.s.ʌ.p.ɹ.u.v	d.ɪ.s.ʌ.p.ɹ.u.v.d	157	disapprove	disapproved	reg
f.ɪ.l.t.ɚ	f.ɪ.l.t.ɚ.d	157	filter	filtered	reg
g.l.ɪ.s.ʌ.n	g.l.ɪ.s.ʌ.n.d	157	glisten	glistened	reg
h.ɪ.s	h.ɪ.s.t	157	hiss	hissed	reg
h.ʌ.d.ʌ.l	h.ʌ.d.ʌ.l.d	157	huddle	huddled	reg
p.ɔ.ɹ.t.ɹ.eɪ	p.ɔ.ɹ.t.ɹ.eɪ.d	157	portray	portrayed	reg
s.ɪ.m.ɚ	s.ɪ.m.ɚ.d	157	simmer	simmered	reg
j.u.n.ʌ.f.aɪ	j.u.n.ʌ.f.aɪ.d	157	unify	unified	reg
b.l.aɪ.n.d	b.l.aɪ.n.d.ɪ.d	156	blind	blinded	reg
f.ʌ.m.b.ʌ.l	f.ʌ.m.b.ʌ.l.d	156	fumble	fumbled	reg
h.eɪ.s.ʌ.n	h.eɪ.s.ʌ.n.d	156	hasten	hastened	reg
oʊ.v.ɚ.t.eɪ.k	oʊ.v.ɚ.t.ʊ.k	156	overtake	overtook	irreg
ʃ.ɑ.ɹ.p.ʌ.n	ʃ.ɑ.ɹ.p.ʌ.n.d	156	sharpen	sharpened	reg
s.t.aɪ.f.ʌ.l	s.t.aɪ.f.ʌ.l.d	156	stifle	stifled	reg
d.ɪ.k.eɪ	d.ɪ.k.eɪ.d	155	decay	decayed	reg
f.u.l	f.u.l.d	155	fool	fooled	reg
m.oʊ.b.ʌ.l.aɪ.z	m.oʊ.b.ʌ.l.aɪ.z.d	155	mobilize	mobilized	reg
p.æ.d	p.æ.d.ʌ.d	155	pad	padded	reg
s.t.ɛ.ɹ.ʌ.l.aɪ.z	s.t.ɛ.ɹ.ʌ.l.aɪ.z.d	155	sterilize	sterilized	reg
t.æ.ŋ.g.ʌ.l	t.æ.ŋ.g.ʌ.l.d	155	tangle	tangled	reg
k.ʌ.n.t.ɛ.n.d	k.ʌ.n.t.ɛ.n.d.ɪ.d	154	contend	contended	reg
d.ɹ.ɛ.d	d.ɹ.ɛ.d.ɪ.d	154	dread	dreaded	reg
f.ɪ.l.m	f.ɪ.l.m.d	154	film	filmed	reg
h.ɑ.p	h.ɑ.p.t	154	hop	hopped	reg
l.ɚ.k	l.ɚ.k.t	154	lurk	lurked	reg
ɹ.ɪ.v.aɪ.z	ɹ.ɪ.v.aɪ.z.d	154	revise	revised	reg
s.i.z.ʌ.n	s.i.z.ʌ.n.d	154	season	seasoned	reg
s.t.ɑ.k	s.t.ɑ.k.t	154	stock	stocked	reg
ɛ.s.k.ɔ.ɹ.t	ɛ.s.k.ɔ.ɹ.t.ɪ.d	153	escort	escorted	reg
f.l.ɛ.ɹ	f.l.ɛ.ɹ.d	153	flare	flared	reg
m.æ.s.t.ɚ	m.æ.s.t.ɚ.d	153	master	mastered	reg
p.ʌ.l.u.t	p.ʌ.l.u.t.ʌ.d	153	pollute	polluted	reg
p.ɹ.oʊ.b	p.ɹ.oʊ.b.d	153	probe	probed	reg
ʃ.ɛ.l.t.ɚ	ʃ.ɛ.l.t.ɚ.d	153	shelter	sheltered	reg
w.ɪ.ð.ɚ	w.ɪ.ð.ɚ.d	153	wither	withered	reg
b.ɹ.u.z	b.ɹ.u.z.d	152	bruise	bruised	reg
d.ʌ.s.t	d.ʌ.s.t.ɪ.d	152	dust	dusted	reg
h.ʌ.n.tʃ	h.ʌ.n.tʃ.t	152	hunch	hunched	reg
l.æ.ʃ	l.æ.ʃ.t	152	lash	lashed	reg
n.ɚ.s	n.ɚ.s.t	152	nurse	nursed	reg
ɹ.ɪ.s.i.d	ɹ.ʌ.s.i.d.ʌ.d	152	recede	receded	reg
s.u.p.ɚ.v.aɪ.z	s.u.p.ɚ.v.aɪ.z.d	152	supervise	supervised	reg
t.ɹ.æ.n.s.ɛ.n.d	t.ɹ.æ.n.s.ɛ.n.d.ɪ.d	152	transcend	transcended	reg
t.ɹ.ɪ.m	t.ɹ.ɪ.m.d	152	trim	trimmed	reg
ʌ.n.d.ɚ.ɛ.s.t.ʌ.m.eɪ.t	ʌ.n.d.ɚ.ɛ.s.t.ʌ.m.eɪ.t.ɪ.d	152	underestimate	underestimated	reg
eɪ.dʒ	eɪ.dʒ.d	151	age	aged	reg
eɪ.l.j.ʌ.n.eɪ.t	eɪ.l.i.ʌ.n.eɪ.t.ɪ.d	151	alienate	alienated	reg
d.ɑ.ɹ.t	d.ɑ.ɹ.t.ɪ.d	151	dart	darted	reg
d.aɪ.dʒ.ɛ.s.t	d.aɪ.dʒ.ɛ.s.t.ɪ.d	151	digest	digested	reg
ɪ.v.æ.l.j.u.eɪ.t	ɪ.v.æ.l.j.u.eɪ.t.ʌ.d	151	evaluate	evaluated	reg
g.ɹ.ʌ.m.b.ʌ.l	g.ɹ.ʌ.m.b.ʌ.l.d	151	grumble	grumbled	reg
m.ɛ.n.d	m.ɛ.n.d.ɪ.d	151	mend	mended	reg
p.l.ʌ.k	p.l.ʌ.k.t	151	pluck	plucked	reg
s.æ.g	s.æ.g.d	151	sag	sagged	reg
s.ɪ.d.u.s	s.ɪ.d.u.s.t	151	seduce	seduced	reg
s.t.ɪ.ŋ	s.t.ʌ.ŋ	151	sting	stung	irreg
ɑ.ɹ.tʃ	ɑ.ɹ.tʃ.t	150	arch	arched	reg
k.ʌ.m.ɪ.ʃ.ʌ.n	k.ʌ.m.ɪ.ʃ.ʌ.n.d	150	commission	commissioned	reg
ɹ.ʌ.s.aɪ.t	ɹ.ʌ.s.aɪ.t.ʌ.d	150	recite	recited	reg
s.t.ɔ.k	s.t.ɔ.k.t	150	stalk	stalked	reg
j.u.n.aɪ.t	j.u.n.aɪ.t.ʌ.d	150	unite	united	reg
b.u.s.t	b.u.s.t.ɪ.d	149	boost	boosted	reg
s.ɛ.n.t.ɹ.ʌ.l.aɪ.z	s.ɛ.n.t.ɹ.ʌ.l.aɪ.z.d	149	centralize	centralized	reg
m.ʌ.tʃ.ʊ.ɹ	m.ʌ.t.j.ʊ.ɹ.d	149	mature	matured	reg
s.k.ɹ.i.n	s.k.ɹ.i.n.d	149	screen	screened	reg
ʌ.n.d.ɹ.ɛ.s	ʌ.n.d.ɹ.ɛ.s.t	149	undress	undressed	reg
w.eɪ.d	w.eɪ.d.ɪ.d	149	wade	waded	reg
d.ɪ.v.aʊ.ɚ	d.ɪ.v.aʊ.ɚ.d	148	devour	devoured	reg
d.ɹ.u.p	d.ɹ.u.p.t	148	droop	drooped	reg
s.ɪ.m.b.ʌ.l.aɪ.z	s.ɪ.m.b.ʌ.l.aɪ.z.d	148	symbolize	symbolized	reg
b.l.ɛ.n.d	b.l.ɛ.n.d.ɪ.d	147	blend	blended	reg
p.l.ɑ.t	p.l.ɑ.t.ʌ.d	147	plot	plotted	reg
ɹ.i.ʌ.p.ɪ.ɹ	ɹ.i.ʌ.p.ɪ.ɹ.d	147	reappear	reappeared	reg
k.ʌ.p.ʌ.l	k.ʌ.p.ʌ.l.d	146	couple	coupled	reg
ʌ.p.ɹ.ɛ.s	ʌ.p.ɹ.ɛ.s.t	146	oppress	oppressed	reg
p.ʌ.z.ɪ.ʃ.ʌ.n	p.ʌ.z.ɪ.ʃ.ʌ.n.d	146	position	positioned	reg
ʃ.ɑ.p	ʃ.ɑ.p.t	146	shop	shopped	reg
s.ʌ.m.ɚ.aɪ.z	s.ʌ.m.ɚ.aɪ.z.d	146	summarize	summarized	reg
æ.l.ʌ.k.eɪ.t	æ.l.ʌ.k.eɪ.t.ɪ.d	145	allocate	allocated	reg
b.l.æ.k	b.l.æ.k.t	145	black	blacked	reg
k.ɹ.i.k	k.ɹ.i.k.t	145	creak	creaked	reg
ɛ.n.d.eɪ.n.dʒ.ɚ	ɛ.n.d.eɪ.n.dʒ.ɚ.d	145	endanger	endangered	reg
ɪ.v.æ.p.ɚ.eɪ.t	ɪ.v.æ.p.ɚ.eɪ.t.ʌ.d	145	evaporate	evaporated	reg
h.ɚ.æ.s	h.ɚ.æ.s.t	145	harass	harassed	reg
t.ɔ.ɹ.m.ɛ.n.t	t.ɔ.ɹ.m.ɛ.n.t.ɪ.d	145	torment	tormented	reg
ʌ.w.eɪ.k	ʌ.w.oʊ.k	144	awake	awoke	irreg
b.ɛ.k.ʌ.n	b.ɛ.k.ʌ.n.d	144	beckon	beckoned	reg
ɪ.n.v.oʊ.k	ɪ.n.v.oʊ.k.t	144	invoke	invoked	reg
p.oʊ.s.t	p.oʊ.s.t.ɪ.d	144	post	posted	reg
s.t.ɔ.ɹ.m	s.t.ɔ.ɹ.m.d	144	storm	stormed	reg
d.ɪ.s.ɹ.ʌ.p.t	d.ɪ.s.ɹ.ʌ.p.t.ɪ.d	143	disrupt	disrupted	reg
k.l.ɛ.ɹ.ʌ.f.aɪ	k.l.ɛ.ɹ.ʌ.f.aɪ.d	142	clarify	clarified	reg
p.ɪ.ɹ.s	p.ɪ.ɹ.s.t	142	pierce	pierced	reg
ʃ.ɔ.ɹ.t.ʌ.n	ʃ.ɔ.ɹ.t.ʌ.n.d	142	shorten	shortened	reg
s.ʌ.b.s.aɪ.d	s.ʌ.b.s.aɪ.d.ɪ.d	142	subside	subsided	reg
w.ɪ.ŋ.k	w.ɪ.ŋ.k.t	142	wink	winked	reg
d.ɪ.s.ɪ.n.t.ʌ.g.ɹ.eɪ.t	d.ɪ.s.ɪ.n.t.ʌ.g.ɹ.eɪ.t.ɪ.d	141	disintegrate	disintegrated	reg
d.aɪ	d.aɪ.d	141	dye	dyed	reg
l.ɛ.s.ʌ.n	l.ɛ.s.ʌ.n.d	141	lessen	lessened	reg
ɹ.i.p.eɪ	ɹ.i.p.eɪ.d	141	repay	repaid	reg
s.aɪ.l.ʌ.n.s	s.aɪ.l.ʌ.n.s.t	141	silence	silenced	reg
s.w.ɔ.ɹ.m	s.w.ɔ.ɹ.m.d	141	swarm	swarmed	reg
t.ɹ.æ.m.p.ʌ.l	t.ɹ.æ.m.p.ʌ.l.d	141	trample	trampled	reg
k.l.æ.m.b.ɚ	k.l.æ.m.b.ɚ.d	140	clamber	clambered	reg
d.ɪ.s.k.l.oʊ.z	d.ɪ.s.k.l.oʊ.z.d	140	disclose	disclosed	reg
p.aɪ.ʌ.n.ɪ.ɹ	p.aɪ.ʌ.n.ɪ.ɹ.d	140	pioneer	pioneered	reg
ɹ.ɪ.z.ɔ.ɹ.t	ɹ.ɪ.z.ɔ.ɹ.t.ɪ.d	140	resort	resorted	reg
s.t.æ.b	s.t.æ.b.d	140	stab	stabbed	reg
d.ɪ.g.ɹ.eɪ.d	d.ɪ.g.ɹ.eɪ.d.ʌ.d	139	degrade	degraded	reg
m.æ.k.s.ʌ.m.aɪ.z	m.æ.k.s.ʌ.m.aɪ.z.d	139	maximize	maximized	reg
oʊ.v.ɚ.k.ɹ.aʊ.d	oʊ.v.ɚ.k.ɹ.aʊ.d.ɪ.d	139	overcrowd	overcrowded	reg
v.ɑ.l.ʌ.n.t.ɪ.ɹ	v.ɑ.l.ʌ.n.t.ɪ.ɹ.d	139	volunteer	volunteered	reg
ɹ.ɛ.s.ʌ.l	ɹ.ɛ.s.ʌ.l.d	139	wrestle	wrestled	reg
ɔ.θ.ɚ.aɪ.z	ɔ.θ.ɚ.aɪ.z.d	138	authorize	authorized	reg
s.ɔɪ.l	s.ɔɪ.l.d	138	soil	soiled	reg
t.aɪ.ɚ	t.aɪ.ɚ.d	138	tire	tired	reg
æ.ŋ.g.ɚ	æ.ŋ.g.ɚ.d	137	anger	angered	reg
ʌ.v.ɚ.t	ʌ.v.ɚ.t.ʌ.d	137	avert	averted	reg
k.ɑ.m.p.aʊ.n.d	k.ʌ.m.p.aʊ.n.d.ʌ.d	137	compound	compounded	reg
k.ɑ.m.p.ɹ.i.h.ɛ.n.d	k.ɑ.m.p.ɹ.ɪ.h.ɛ.n.d.ɪ.d	137	comprehend	comprehended	reg
d.i.p.ʌ.n	d.i.p.ʌ.n.d	137	deepen	deepened	reg
m.ɪ.s.ʌ.n.d.ɚ.s.t.æ.n.d	m.ɪ.s.ʌ.n.d.ɚ.s.t.ʊ.d	137	misunderstand	misunderstood	irreg
m.ʌ.f.ʌ.l	m.ʌ.f.ʌ.l.d	137	muffle	muffled	reg
aʊ.t.ɹ.eɪ.dʒ	aʊ.t.ɹ.eɪ.dʒ.d	137	outrage	outraged	reg
s.k.ɪ.m	s.k.ɪ.m.d	137	skim	skimmed	reg
t.ɹ.ɪ.k.ʌ.l	t.ɹ.ɪ.k.ʌ.l.d	137	trickle	trickled	reg
ʌ.n.f.oʊ.l.d	ʌ.n.f.oʊ.l.d.ʌ.d	137	unfold	unfolded	reg
tʃ.æ.n.t	tʃ.æ.n.t.ɪ.d	136	chant	chanted	reg
k.ɹ.ɑ.p	k.ɹ.ɑ.p.t	136	crop	cropped	reg
ɪ.n.t.ʌ.ɹ.ɛ.s.t	ɪ.n.t.ʌ.ɹ.ɛ.s.t.ɪ.d	136	interest	interested	reg
b.ʌ.z	b.ʌ.z.d	135	buzz	buzzed	reg
k.ɹ.aʊ.d	k.ɹ.aʊ.d.ʌ.d	135	crowd	crowded	reg
ɪ.n.s.u	ɪ.n.s.u.d	135	ensue	ensued	reg
ɪ.v.eɪ.d	ɪ.v.eɪ.d.ɪ.d	135	evade	evaded	reg
g.ɹ.eɪ.d	g.ɹ.eɪ.d.ʌ.d	135	grade	graded	reg
m.ɛ.s	m.ɛ.s.t	135	mess	messed	reg
p.ʌ.l.i.s	p.ʌ.l.i.s.t	135	police	policed	reg
j.ɔ.n	j.ɔ.n.d	135	yawn	yawned	reg
k.ɑ.m.p.l.ʌ.k.eɪ.t	k.ɑ.m.p.l.ʌ.k.eɪ.t.ʌ.d	134	complicate	complicated	reg
l.ɪ.t.ɚ	l.ɪ.t.ɚ.d	134	litter	littered	reg
p.ɹ.oʊ.h.ɪ.b.ʌ.t	p.ɹ.oʊ.h.ɪ.b.ʌ.t.ʌ.d	134	prohibit	prohibited	reg
s.k.ɛ.ɹ	s.k.ɛ.ɹ.d	134	scare	scared	reg
s.t.u.p	s.t.u.p.t	134	stoop	stooped	reg
d.ɪ.m.ɑ.l.ɪ.ʃ	d.ɪ.m.ɑ.l.ɪ.ʃ.t	133	demolish	demolished	reg
d.ɪ.s.p.l.eɪ.s	d.ɪ.s.p.l.eɪ.s.t	133	displace	displaced	reg
d.ɹ.eɪ.p	d.ɹ.eɪ.p.t	133	drape	draped	reg
t.ɹ.æ.n.s.p.ɔ.ɹ.t	t.ɹ.æ.n.s.p.ɔ.ɹ.t.ʌ.d	133	transport	transported	reg
ɛ.n.ɹ.ɪ.tʃ	ɛ.n.ɹ.ɪ.tʃ.t	132	enrich	enriched	reg
l.ɑ.dʒ	l.ɑ.dʒ.d	132	lodge	lodged	reg
b.æ.f.ʌ.l	b.æ.f.ʌ.l.d	131	baffle	baffled	reg
k.ɑ.n.t.ɹ.ʌ.d.ɪ.k.t	k.ɑ.n.t.ɹ.ʌ.d.ɪ.k.t.ʌ.d	131	contradict	contradicted	reg
d.ɪ.t.ɪ.ɹ.i.ɚ.eɪ.t	d.ɪ.t.ɪ.ɹ.i.ɚ.eɪ.t.ɪ.d	131	deteriorate	deteriorated	reg
n.ɚ.ɪ.ʃ	n.ɚ.ɪ.ʃ.t	131	nourish	nourished	reg
ɹ.oʊ.m	ɹ.oʊ.m.d	131	roam	roamed	reg
θ.ɹ.æ.ʃ	θ.ɹ.æ.ʃ.t	131	thrash	thrashed	reg
j.u.t.ʌ.l.aɪ.z	j.u.t.ʌ.l.aɪ.z.d	131	utilize	utilized	reg
v.aɪ.ʌ.l.eɪ.t	v.aɪ.ʌ.l.eɪ.t.ɪ.d	131	violate	violated	reg
b.l.eɪ.z	b.l.eɪ.z.d	130	blaze	blazed	reg
d.aʊ.n	d.aʊ.n.d	130	down	downed	reg
f.l.aʊ.ɚ	f.l.aʊ.ɚ.d	130	flower	flowered	reg
p.æ.k.ʌ.dʒ	p.æ.k.ɪ.dʒ.d	130	package	packaged	reg
p.ʌ.b.l.ɪ.s.aɪ.z	p.ʌ.b.l.ɪ.s.aɪ.z.d	130	publicize	publicized	reg
ɹ.ɛ.b.ʌ.l	ɹ.ɪ.b.ɛ.l.d	130	rebel	rebelled	reg
s.u.ð	s.u.ð.d	130	soothe	soothed	reg
d.ɛ.z.ʌ.g.n.eɪ.t	d.ɛ.z.ɪ.g.n.eɪ.t.ɪ.d	129	designate	designated	reg
h.eɪ.l	h.eɪ.l.d	129	hail	hailed	reg
m.eɪ.t	m.eɪ.t.ɪ.d	129	mate	mated	reg
ɹ.eɪ.d	ɹ.eɪ.d.ɪ.d	129	raid	raided	reg
s.ɛ.v.ɚ	s.ɛ.v.ɚ.d	129	sever	severed	reg
k.ʌ.n.s.ɑ.l.ɪ.d.eɪ.t	k.ʌ.n.s.ɑ.l.ʌ.d.eɪ.t.ʌ.d	128	consolidate	consolidated	reg
d.ɪ.p.l.ɔ.ɹ	d.ɪ.p.l.ɔ.ɹ.d	128	deplore	deplored	reg
ɪ.m.ɪ.t	ɪ.m.ɪ.t.ʌ.d	128	emit	emitted	reg
s.ɪ.m.p.l.ʌ.f.aɪ	s.ɪ.m.p.l.ʌ.f.aɪ.d	128	simplify	simplified	reg
ʌ.s.p.aɪ.ɹ	ʌ.s.p.aɪ.ɹ.d	127	aspire	aspired	reg
m.æ.g.n.ʌ.f.aɪ	m.æ.g.n.ʌ.f.aɪ.d	127	magnify	magnified	reg
s.l.ʌ.m.p	s.l.ʌ.m.p.t	127	slump	slumped	reg
b.l.æ.s.t	b.l.æ.s.t.ʌ.d	126	blast	blasted	reg
b.ʌ.t.ʌ.n	b.ʌ.t.ʌ.n.d	126	button	buttoned	reg
k.ʌ.n.f.aɪ.d	k.ʌ.n.f.aɪ.d.ɪ.d	126	confide	confided	reg
d.oʊ.z	d.oʊ.z.d	126	doze	dozed	reg
f.ʌ.s.ɪ.l.ʌ.t.eɪ.t	f.ʌ.s.ɪ.l.ʌ.t.eɪ.t.ɪ.d	126	facilitate	facilitated	reg
k.ɪ.d.n.æ.p	k.ɪ.d.n.æ.p.t	126	kidnap	kidnapped	reg
l.ɚ.tʃ	l.ɚ.tʃ.t	126	lurch	lurched	reg
ɹ.æ.ŋ.k	ɹ.æ.ŋ.k.t	126	rank	ranked	reg
s.l.ɔ.t.ɚ	s.l.ɔ.t.ɚ.d	126	slaughter	slaughtered	reg
s.p.ɹ.aʊ.t	s.p.ɹ.aʊ.t.ʌ.d	126	sprout	sprouted	reg
f.æ.ʃ.ʌ.n	f.æ.ʃ.ʌ.n.d	125	fashion	fashioned	reg
oʊ.v.ɚ.l.æ.p	oʊ.v.ɚ.l.æ.p.t	125	overlap	overlapped	reg
s.t.eɪ.ʃ.ʌ.n	s.t.eɪ.ʃ.ʌ.n.d	125	station	stationed	reg
θ.ɪ.n	θ.ɪ.n.d	125	thin	thinned	reg
t.ɹ.ɪ.p	t.ɹ.ɪ.p.t	125	trip	tripped	reg
ɔ.l.t.ɚ.n.ʌ.t	ɔ.l.t.ɚ.n.eɪ.t.ʌ.d	124	alternate	alternated	reg
d.ɪ.p.ɹ.ɛ.s	d.ɪ.p.ɹ.ɛ.s.t	124	depress	depressed	reg
dʒ.ɛ.n.ɚ.ʌ.l.aɪ.z	dʒ.ɛ.n.ɚ.ʌ.l.aɪ.z.d	124	generalize	generalized	reg
ɹ.eɪ.n	ɹ.eɪ.n.d	124	reign	reigned	reg
s.k.u.p	s.k.u.p.t	124	scoop	scooped	reg
d.ʌ.k	d.ʌ.k.t	123	duck	ducked	reg
m.æ.n.ʌ.f.ɛ.s.t	m.æ.n.ʌ.f.ɛ.s.t.ʌ.d	123	manifest	manifested	reg
ɹ.i.v.ɑ.l.v	ɹ.i.v.ɑ.l.v.d	123	revolve	revolved	reg
ʌ.b.j.u.s	ʌ.b.j.u.z.d	122	abuse	abused	reg
k.ɑ.k	k.ɑ.k.t	122	cock	cocked	reg
f.l.ɪ.p	f.l.ɪ.p.t	122	flip	flipped	reg
g.ɪ.ɹ	g.ɪ.ɹ.d	122	gear	geared	reg
ʌ.n.k.ʌ.v.ɚ	ʌ.n.k.ʌ.v.ɚ.d	122	uncover	uncovered	reg
ʌ.n.l.oʊ.d	ʌ.n.l.oʊ.d.ʌ.d	122	unload	unloaded	reg
ʌ.ʃ.ɚ	ʌ.ʃ.ɚ.d	122	usher	ushered	reg
